timestamp_ms,side,price,size,trade_id
1780929697235,buy,63900.1,0.00003,1017413248
1780929697235,buy,63899.3,0.00046015,1017413247
1780929697233,buy,63897,0.00003,1017413246
1780929697233,buy,63895.8,0.00009775,1017413245
1780929697233,buy,63894.6,0.000015,1017413244
1780929697233,buy,63894,0.00003,1017413243
1780929697233,buy,63893.7,0.00001,1017413242
1780929697233,buy,63893.6,0.00021145,1017413241
1780929696506,buy,63890.9,0.00003,1017413240
1780929696492,buy,63888.2,0.00001501,1017413239
1780929696492,buy,63887.9,0.00003,1017413238
1780929696492,buy,63884.8,0.00003,1017413237
1780929696341,buy,63881.8,0.00003,1017413236
1780929696308,buy,63876.3,0.00001,1017413235
1780929696308,buy,63876.2,0.00074406,1017413234
1780929696304,buy,63876.2,0.00016594,1017413233
1780929696256,buy,63876.2,0.008,1017413232
1780929696249,buy,63876.2,0.0025,1017413231
1780929696248,buy,63876.2,0.005017,1017413230
1780929695989,buy,63876.2,0.015,1017413229
1780929695989,buy,63876.2,0.071016,1017413228
1780929695903,sell,63876.8,0.00061681,1017413227
1780929695901,sell,63877.5,0.0004767,1017413226
1780929695901,sell,63877.8,0.0000136,1017413225
1780929695896,sell,63879.6,0.10094017,1017413224
1780929695896,sell,63880.8,0.07947895,1017413223
1780929695894,sell,63880.9,0.01435526,1017413222
1780929695894,sell,63880.9,0.0112366,1017413221
1780929695894,sell,63881.5,0.0290882,1017413220
1780929695894,sell,63881.5,0.01048526,1017413219
1780929695894,sell,63881.5,0.00035,1017413218
1780929695894,sell,63881.5,0.00092,1017413217
1780929694893,buy,63877.6,0.00033,1017413216
1780929694893,buy,63877.6,0.001,1017413215
1780929694717,sell,63877.6,0.00001487,1017413214
1780929694716,sell,63877.6,0.00000084,1017413213
1780929694716,sell,63878.7,0.00031,1017413212
1780929694716,sell,63879.3,0.00046015,1017413211
1780929694716,sell,63880,0.00031,1017413210
1780929694716,sell,63880.9,0.00001401,1017413209
1780929694646,sell,63881.5,0.0375,1017413208
1780929694598,sell,63882,0.000015,1017413207
1780929694598,sell,63884,0.00031,1017413206
1780929694596,sell,63884.6,0.00083351,1017413205
1780929694585,sell,63885.9,0.00003272,1017413204
1780929694585,sell,63887.2,0.00001571,1017413203
1780929694585,sell,63887.3,0.00105506,1017413202
1780929694503,sell,63888,0.00031,1017413201
1780929694501,sell,63888.4,0.00001501,1017413200
1780929694501,sell,63889,0.00001501,1017413199
1780929694501,sell,63892,0.00031,1017413198
1780929694496,sell,63892.5,0.00061666,1017413197
1780929694494,sell,63893,0.0000157,1017413196
1780929694494,sell,63893.3,0.00128795,1017413195
1780929694491,sell,63894.9,0.0000157,1017413194
1780929694491,sell,63895,0.00001434,1017413193
1780929694491,sell,63896,0.00031,1017413192
1780929694483,sell,63896.4,0.00047375,1017413191
1780929694483,sell,63896.4,0.00077375,1017413190
1780929694483,sell,63896.7,0.00149724,1017413189
1780929694483,sell,63896.7,0.00086276,1017413188
